player_name,three_mp,three_raptor,power
Michael Jordan,3811.333333,11.49632507,7.374656175
LeBron James,3456.333333,11.33862362,6.690509757
Larry Bird,3877,8.521148252,6.337648657
Stephen Curry,3330.666667,10.91297559,6.327835883
John Stockton,3368.666667,10.22662251,6.161807715
Kevin Garnett,3638.333333,8.532794832,5.989586666
Chris Paul,3049.333333,11.30337952,5.964312675
Magic Johnson,3429,9.151403556,5.892463759
Dwyane Wade,3395.333333,9.160862885,5.843857792
James Harden,3131.333333,10.41663088,5.830497829
Kobe Bryant,3810.666667,6.763778927,5.57005817
Tim Duncan,3578.666667,7.491134389,5.528666774
Shaquille O'Neal,3653.666667,7.144026864,5.504828762
Nikola Jokic,2847,10.85561869,5.481874121
Draymond Green,3341.666667,8.153232657,5.42449006
David Robinson,3107.666667,9.115359466,5.386685357
Udonis Haslem,2120.666667,16.14069148,5.360950119
Dirk Nowitzki,3747,6.42591215,5.360668763
Karl Malone,3825.666667,6.12651982,5.345769746
Scottie Pippen,3373.333333,7.748149613,5.333420616
Clyde Drexler,3437.666667,7.309384975,5.272578388
Charles Barkley,3183.666667,8.334395222,5.254753106
Gary Payton,3659.333333,6.311145318,5.207633923
Julius Erving,3513.666667,6.766921896,5.18495027
Mookie Blaylock,3382,6.981663213,5.086317979
Tracy McGrady,3278.333333,7.062166235,4.975644977
Terry Porter,3503.333333,6.111664996,4.94195145
Tim Hardaway,3567,5.843799939,4.925042918
Ben Wallace,3632.666667,5.523672083,4.888101425
Kawhi Leonard,2660.333333,9.594609177,4.827285341
Jason Kidd,3243.333333,6.709283202,4.814635665
Manu Ginobili,2828.333333,8.46668587,4.774292467
Kareem Abdul-Jabbar,3214.333333,6.690477956,4.771038111
Ray Allen,3406,5.7924898,4.713017506
Dwight Howard,3419,5.721960136,4.704545651
Hakeem Olajuwon,3045.666667,7.085503426,4.67325564
Moses Malone,3726.666667,4.581673961,4.647628643
Chauncey Billups,3271.333333,6.050278249,4.635311171
Kevin Johnson,3318.333333,5.836834414,4.6222477
Shawn Marion,3372,5.609183603,4.610296191
Russell Westbrook,3116.333333,6.549029009,4.60023922
Steve Nash,3290.666667,5.850022995,4.593175047
Paul Pierce,3406,5.372456115,4.569954033
Isiah Thomas,3200.666667,6.037970367,4.544520529
Patrick Ewing,3732,4.216904787,4.517268347
Anfernee Hardaway,3226.333333,5.709699481,4.470122856
Gilbert Arenas,3444.666667,4.801236684,4.418089476
Baron Davis,3110.333333,5.937049447,4.40221976
Fat Lever,3096.666667,5.827306658,4.351594109
Reggie Miller,3228.333333,5.333905948,4.351194117
Maurice Cheeks,3046.333333,5.974135057,4.335584156
Kyle Lowry,3091.666667,5.750021016,4.321666311
Eddie Jones,3173.333333,5.417779427,4.314153485
Allen Iverson,3575.666667,4.011665186,4.280405228
Rajon Rondo,3308,4.785346562,4.261936123
Jeff Hornacek,3171.333333,5.222194562,4.249795449
Giannis Antetokounmpo,2572.666667,7.883880117,4.248355038
Steve Francis,3309.333333,4.635938273,4.213961986
Horace Grant,3328.333333,4.567445465,4.211829579
Pau Gasol,3547,3.870545496,4.200961968
Gus Williams,3188.666667,4.940905814,4.179969647
Sidney Moncrief,3124,5.163771617,4.177289733
Doug Christie,3258.666667,4.663218763,4.167747034
Dominique Wilkins,3163.333333,4.95906496,4.157389029
Vince Carter,2989,5.568212644,4.144226239
