Player Name,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3PAr,FTr,Label
Montrezl Harrell,6.1,10.7,0.566,5.8,9.7,0.602,0.3,1.1,3.3,5.5,0.597,9.2,1.4,0.9,1.2,2.0,2.1,15.7,0.588,0.578,0.098,0.508,1
Thomas Welsh,4.9,10.1,0.485,3.5,6.7,0.527,1.4,3.4,1.5,1.8,0.828,10.8,1.4,0.7,0.9,1.0,2.4,12.6,0.577,0.552,0.335,0.174,0
Doug McDermott,9.4,17.9,0.526,6.7,11.8,0.567,2.7,6.1,5.1,5.9,0.864,7.0,1.6,0.2,0.1,1.8,1.9,26.7,0.644,0.603,0.341,0.329,0
Tre Mann,5.5,12.1,0.459,3.7,7.4,0.494,1.9,4.7,3.1,3.7,0.831,5.6,3.5,1.4,0.1,2.8,2.4,16.0,0.579,0.536,0.386,0.307,0
Jawun Evans,6.6,15.1,0.438,5.5,12.1,0.452,1.1,3.0,4.8,6.0,0.812,3.4,6.4,1.8,0.1,2.8,2.3,19.2,0.535,0.475,0.197,0.396,0
Andrew Wiggins,5.4,12.1,0.448,4.2,8.5,0.493,1.2,3.6,5.0,6.5,0.775,5.9,1.5,1.2,1.0,2.3,2.7,17.1,0.563,0.499,0.299,0.538,1
Isaiah Whitehead,5.7,15.1,0.379,3.3,8.5,0.39,2.4,6.5,4.4,5.8,0.76,3.6,5.1,1.2,1.4,3.5,2.3,18.2,0.511,0.458,0.434,0.383,1
Frank Kaminsky,6.8,12.5,0.547,5.8,9.9,0.581,1.1,2.6,4.0,5.1,0.78,8.2,2.6,0.8,1.5,1.6,1.7,18.8,0.628,0.59,0.207,0.41,0
Jeremiah Robinson-Earl,6.2,12.5,0.497,5.3,9.2,0.574,0.9,3.3,2.4,3.4,0.714,8.5,2.2,1.0,0.6,1.6,2.3,15.7,0.558,0.534,0.263,0.269,0
Marquese Chriss,5.3,9.9,0.53,4.6,8.2,0.568,0.6,1.8,2.6,3.8,0.682,5.4,0.8,0.9,1.6,2.0,4.1,13.7,0.585,0.561,0.178,0.382,0
Edmond Sumner,4.8,10.0,0.479,4.2,8.0,0.533,0.6,2.1,4.8,6.5,0.735,4.3,5.0,1.3,0.8,2.8,2.4,15.0,0.57,0.507,0.209,0.645,0
Daniel Oturu,7.7,13.6,0.563,7.1,12.0,0.59,0.6,1.7,4.1,5.8,0.707,11.3,1.1,0.5,2.5,2.8,2.7,20.1,0.612,0.585,0.123,0.428,0
Mo Bamba,4.9,9.0,0.541,4.4,7.3,0.603,0.5,1.7,2.7,4.0,0.681,10.5,0.5,0.8,3.7,1.5,2.5,12.9,0.593,0.567,0.189,0.441,0
Anthony Edwards,1.6,4.4,0.356,1.1,3.1,0.349,0.5,1.3,1.0,1.4,0.703,2.0,2.0,1.1,0.0,1.2,1.2,4.6,0.454,0.411,0.297,0.314,0
Santi Aldama,7.9,15.5,0.513,6.1,10.4,0.585,1.9,5.1,3.5,5.1,0.686,10.1,2.3,1.0,1.7,3.2,1.9,21.2,0.594,0.574,0.331,0.327,0
Tremont Waters,5.2,12.1,0.43,3.5,6.9,0.507,1.7,5.2,3.2,3.9,0.813,2.8,5.8,2.9,0.1,3.5,1.9,15.3,0.547,0.5,0.428,0.32,0
Cassius Winston,6.2,13.8,0.448,3.7,8.1,0.459,2.4,5.6,3.8,4.5,0.852,2.5,5.9,1.2,0.0,3.2,2.0,18.6,0.585,0.536,0.409,0.327,0
James Bouknight,6.5,14.6,0.447,5.1,9.6,0.528,1.5,5.0,4.2,5.4,0.778,5.7,1.8,1.1,0.3,2.8,1.9,18.7,0.546,0.498,0.342,0.37,0
Justise Winslow,4.4,9.1,0.486,3.3,6.3,0.516,1.2,2.8,2.6,4.0,0.641,6.5,2.1,1.3,0.9,1.8,2.8,12.6,0.572,0.551,0.309,0.438,0
Chinanu Onuaku,4.4,7.1,0.62,4.4,7.1,0.623,0.0,0.0,1.1,1.8,0.589,8.5,1.6,0.8,2.0,2.1,3.0,9.9,0.62,0.62,0.005,0.253,0
KZ Okpala,5.9,12.7,0.463,4.8,9.7,0.493,1.1,3.0,4.0,6.0,0.671,5.7,2.0,1.0,0.5,2.9,2.5,16.8,0.543,0.507,0.237,0.471,0
Marial Shayok,2.2,4.9,0.447,1.7,3.5,0.476,0.5,1.4,0.7,1.1,0.688,2.0,1.0,0.6,0.2,0.8,1.4,5.7,0.522,0.501,0.291,0.221,0
George King,4.4,10.0,0.445,2.5,5.1,0.494,1.9,4.9,2.1,2.7,0.782,7.8,1.1,0.5,0.7,2.0,2.4,12.9,0.574,0.542,0.492,0.273,0
Talen Horton-Tucker,4.4,10.9,0.406,3.0,6.4,0.475,1.4,4.5,1.6,2.5,0.625,4.9,2.3,1.3,0.7,1.7,2.3,11.8,0.488,0.47,0.416,0.23,1
Sharife Cooper,6.0,15.3,0.391,4.9,10.6,0.465,1.1,4.8,7.1,8.6,0.825,4.3,8.1,1.0,0.3,4.2,2.7,20.2,0.519,0.427,0.31,0.56,0
Demetrius Jackson,4.6,11.7,0.394,2.9,6.4,0.443,1.7,5.2,2.7,3.3,0.82,1.7,3.0,1.2,0.1,3.1,2.9,13.6,0.515,0.468,0.448,0.283,0
Derrick White,6.0,11.9,0.507,4.4,7.6,0.569,1.7,4.2,4.4,5.4,0.813,4.1,4.4,1.2,1.4,2.4,2.1,18.1,0.627,0.578,0.356,0.45,1
Jordan Bell,4.4,6.9,0.636,4.3,6.5,0.659,0.1,0.4,2.1,3.0,0.701,8.8,1.8,1.3,2.3,1.9,1.7,10.9,0.658,0.641,0.052,0.435,0
Marcus Paige,4.1,10.4,0.398,2.0,4.3,0.459,2.2,6.1,2.1,2.7,0.774,2.5,3.8,1.1,0.4,1.2,1.5,12.6,0.537,0.503,0.588,0.263,0
Rui Hachimura,7.4,12.6,0.591,7.0,11.6,0.606,0.4,1.0,4.4,6.0,0.739,6.5,1.5,0.9,0.7,1.8,2.0,19.7,0.639,0.608,0.077,0.477,0
RJ Barrett,8.4,18.5,0.454,6.5,12.2,0.529,1.9,6.2,3.9,5.9,0.665,7.6,4.3,0.9,0.4,3.2,1.8,22.6,0.532,0.506,0.338,0.319,0
Malachi Flynn,4.3,10.6,0.406,2.1,4.5,0.473,2.2,6.1,2.0,2.5,0.81,3.2,3.6,1.1,0.0,2.1,1.9,12.8,0.544,0.509,0.577,0.234,0
Denzel Valentine,6.6,14.3,0.462,3.3,6.8,0.481,3.4,7.5,2.6,3.1,0.853,7.5,7.8,1.0,0.2,2.7,1.7,19.2,0.608,0.579,0.527,0.214,0
Charles Bassey,6.9,11.8,0.59,6.3,9.6,0.652,0.6,2.1,3.1,4.1,0.759,11.6,0.7,0.4,3.1,2.2,2.4,17.6,0.643,0.617,0.179,0.353,0
Trae Young,8.2,19.3,0.422,4.5,9.1,0.493,3.7,10.3,7.4,8.6,0.861,3.9,8.7,1.7,0.3,5.2,1.8,27.4,0.585,0.518,0.531,0.443,1
Moritz Wagner,5.5,10.5,0.528,3.9,6.4,0.614,1.6,4.1,1.9,2.8,0.694,7.1,0.8,1.0,0.5,1.4,3.1,14.6,0.619,0.605,0.391,0.264,0
Joshua Primo,2.8,6.5,0.431,1.4,2.7,0.5,1.4,3.8,1.1,1.5,0.75,3.4,0.8,0.6,0.3,1.4,1.7,8.1,0.565,0.541,0.579,0.226,0
Dwight Powell,4.9,10.5,0.462,4.6,9.4,0.485,0.3,1.1,4.0,5.9,0.687,6.9,3.1,1.3,0.8,2.9,3.1,14.0,0.527,0.475,0.103,0.557,1
Jordan Adams,5.8,11.9,0.485,4.3,7.9,0.551,1.4,4.1,4.4,5.3,0.836,5.3,2.3,2.6,0.1,1.5,2.2,17.4,0.603,0.545,0.34,0.441,0
Daniel Gafford,6.7,10.1,0.66,6.7,10.1,0.66,0.0,0.0,3.6,6.0,0.591,8.7,0.7,0.9,2.0,2.4,2.8,16.9,0.652,0.66,0.0,0.596,0
Cade Cunningham,6.5,14.8,0.438,4.2,9.1,0.461,2.3,5.7,4.9,5.8,0.846,6.2,3.5,1.6,0.8,4.0,2.5,20.1,0.574,0.515,0.388,0.39,0
Josh Jackson,3.8,7.3,0.513,3.8,7.3,0.515,0.0,0.0,1.4,2.2,0.63,4.6,0.4,0.4,0.3,1.7,2.1,8.9,0.532,0.513,0.003,0.299,0
Jarnell Stokes,5.4,10.1,0.531,5.4,10.1,0.531,0.0,0.0,4.3,6.2,0.696,10.6,2.0,0.7,0.9,2.1,2.0,15.1,0.576,0.531,0.0,0.613,0
Deandre Ayton,7.9,12.9,0.612,7.5,11.9,0.635,0.3,1.0,4.0,5.5,0.733,11.6,1.6,0.6,1.9,2.0,2.3,20.1,0.65,0.625,0.078,0.424,1
Eric Paschall,5.6,13.3,0.419,3.9,8.0,0.488,1.7,5.3,3.1,4.0,0.794,5.5,1.0,0.8,0.4,2.8,2.0,15.9,0.526,0.482,0.399,0.299,0
Henry Ellenson,5.9,13.2,0.446,5.0,10.0,0.495,0.9,3.2,4.3,5.8,0.749,9.7,1.8,0.8,1.5,2.4,2.5,17.0,0.534,0.48,0.239,0.439,0
Buddy Hield,8.1,16.2,0.501,4.2,7.5,0.552,4.0,8.7,4.8,5.4,0.88,5.7,2.0,1.1,0.5,3.1,2.1,25.0,0.665,0.623,0.536,0.333,1
Cameron Payne,7.0,15.3,0.456,4.6,9.0,0.513,2.4,6.4,3.8,4.8,0.787,3.7,6.0,1.9,0.5,2.5,2.1,20.2,0.573,0.534,0.415,0.315,0
Malachi Richardson,4.1,11.1,0.369,2.0,5.1,0.388,2.1,6.1,3.1,4.2,0.72,4.3,2.1,1.1,0.3,2.1,2.5,13.4,0.51,0.465,0.544,0.381,0
Jalen Smith,5.4,10.1,0.538,4.4,7.3,0.604,1.0,2.8,3.6,4.8,0.75,10.5,0.8,0.7,2.4,1.7,2.4,15.5,0.626,0.59,0.279,0.474,0
Sindarius Thornwell,6.3,14.2,0.444,4.4,9.4,0.471,1.9,4.8,6.9,8.4,0.83,7.1,2.8,2.1,1.0,2.5,2.3,21.4,0.59,0.51,0.337,0.59,1
Ty Jerome,4.8,11.1,0.435,2.7,5.7,0.469,2.1,5.4,1.8,2.5,0.736,4.2,5.5,1.5,0.0,1.6,1.7,13.6,0.555,0.532,0.484,0.222,0
Ben Simmons,6.5,11.7,0.56,6.5,11.6,0.561,0.0,0.1,6.0,9.0,0.67,11.8,4.8,2.0,0.8,3.4,2.8,19.2,0.6,0.561,0.008,0.769,1
Willie Cauley-Stein,3.5,6.1,0.572,3.5,6.1,0.572,0.0,0.0,2.0,3.3,0.617,6.4,1.0,1.2,1.7,1.2,2.0,8.9,0.588,0.572,0.0,0.542,0
Branden Dawson,5.2,9.7,0.535,5.2,9.7,0.535,0.0,0.0,1.5,3.0,0.49,9.1,1.7,1.2,1.7,1.9,2.1,11.9,0.533,0.535,0.0,0.306,0
Josh Okogie,5.5,13.3,0.416,4.0,9.2,0.432,1.6,4.2,5.5,6.8,0.821,6.3,2.5,1.8,1.0,2.5,2.9,18.2,0.55,0.475,0.313,0.506,0
Admiral Schofield,6.4,13.6,0.474,4.4,8.8,0.505,2.0,4.8,1.6,2.3,0.698,6.1,2.0,0.9,0.5,1.9,2.5,16.5,0.562,0.548,0.353,0.171,0
Joe Wieskamp,5.2,10.6,0.491,2.8,5.5,0.518,2.4,5.1,2.1,3.1,0.677,6.6,1.7,0.9,0.3,1.4,1.5,14.8,0.616,0.602,0.482,0.293,0
Caleb Swanigan,6.3,12.0,0.527,5.3,9.6,0.548,1.1,2.4,4.7,6.0,0.781,12.5,3.1,0.4,0.8,3.4,2.8,18.5,0.62,0.572,0.202,0.499,0
Jevon Carter,5.8,13.8,0.422,3.7,8.5,0.441,2.1,5.3,3.6,4.2,0.858,4.6,6.6,3.0,0.4,2.6,3.0,17.3,0.549,0.498,0.385,0.305,0
Aaron Holiday,6.4,13.9,0.461,3.8,7.7,0.486,2.7,6.2,4.8,5.8,0.828,3.7,5.8,1.3,0.2,3.8,2.6,20.3,0.609,0.557,0.446,0.417,0
Devyn Marble,5.5,13.2,0.42,4.0,8.7,0.456,1.6,4.5,4.3,6.0,0.714,3.2,3.6,1.8,0.2,1.7,1.9,17.0,0.528,0.479,0.342,0.456,0
Rashad Vaughn,6.3,14.3,0.439,3.9,8.1,0.481,2.3,6.1,3.0,4.3,0.694,4.8,1.6,0.8,0.3,2.2,2.3,17.8,0.547,0.521,0.43,0.299,0
Shake Milton,5.6,12.5,0.449,3.0,6.6,0.462,2.5,5.9,4.3,5.0,0.847,4.7,4.4,1.4,0.6,2.3,1.7,18.0,0.606,0.551,0.471,0.405,1
Desmond Bane,6.2,13.6,0.452,3.3,7.1,0.461,2.9,6.5,1.4,1.8,0.789,6.3,3.9,1.5,0.5,2.3,2.2,16.6,0.573,0.557,0.477,0.131,1
Tyrese Maxey,4.8,11.3,0.427,3.8,7.7,0.492,1.1,3.6,3.2,3.9,0.833,4.3,3.2,0.9,0.4,2.2,2.4,14.0,0.531,0.474,0.322,0.342,1
Landry Shamet,4.8,9.8,0.489,2.2,3.9,0.56,2.6,5.9,2.7,3.2,0.825,3.2,5.2,0.7,0.2,2.1,1.9,14.9,0.655,0.622,0.603,0.327,0
Kyle Guy,5.2,11.6,0.449,2.1,4.2,0.491,3.2,7.4,1.8,2.2,0.833,4.5,2.1,0.7,0.1,1.4,1.0,15.4,0.609,0.585,0.639,0.19,0
Wes Iwundu,4.3,9.0,0.481,3.4,6.5,0.52,0.9,2.4,3.5,4.5,0.767,6.3,3.5,1.0,0.3,2.3,1.8,13.0,0.585,0.532,0.271,0.506,0
Thomas Bryant,4.4,8.4,0.519,3.7,6.6,0.556,0.7,1.8,3.2,4.4,0.73,6.6,1.5,0.8,1.5,2.3,3.1,12.6,0.601,0.56,0.211,0.519,1
Myles Turner,3.4,7.6,0.455,2.9,5.7,0.513,0.5,1.8,2.8,3.3,0.839,6.5,0.6,0.3,2.6,1.4,2.4,10.1,0.556,0.488,0.241,0.436,1
Ignas Brazdeikis,5.1,11.0,0.462,3.6,7.1,0.5,1.5,3.9,3.1,4.1,0.773,5.4,0.8,0.7,0.5,1.2,2.1,14.8,0.573,0.531,0.351,0.369,0
Justin Anderson,4.0,8.5,0.466,2.2,4.5,0.479,1.8,4.0,2.5,3.2,0.78,4.0,1.7,0.7,0.5,1.2,1.2,12.2,0.61,0.572,0.471,0.371,0
Mitch McGary,3.8,6.9,0.545,3.8,6.6,0.566,0.0,0.3,2.0,3.0,0.667,8.3,1.5,1.9,0.8,1.6,3.1,9.5,0.572,0.545,0.036,0.436,0
Markel Brown,5.6,11.8,0.473,4.0,7.6,0.525,1.6,4.3,4.4,5.7,0.768,5.3,2.9,1.0,1.0,1.6,2.5,17.2,0.591,0.541,0.361,0.483,0
