Player Name,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,eFG%,3PAr,FTr,Label
Zach Collins,3.5,5.3,0.652,3.2,4.8,0.672,0.3,0.5,2.8,3.8,0.743,5.9,0.4,0.5,1.8,1.5,2.7,10.0,0.703,0.676,0.101,0.715,1
Malachi Flynn,4.3,10.6,0.406,2.1,4.5,0.473,2.2,6.1,2.0,2.5,0.81,3.2,3.6,1.1,0.0,2.1,1.9,12.8,0.544,0.509,0.577,0.234,0
Ty Jerome,4.8,11.1,0.435,2.7,5.7,0.469,2.1,5.4,1.8,2.5,0.736,4.2,5.5,1.5,0.0,1.6,1.7,13.6,0.555,0.532,0.484,0.222,0
Admiral Schofield,6.4,13.6,0.474,4.4,8.8,0.505,2.0,4.8,1.6,2.3,0.698,6.1,2.0,0.9,0.5,1.9,2.5,16.5,0.562,0.548,0.353,0.171,0
Marcus Paige,4.1,10.4,0.398,2.0,4.3,0.459,2.2,6.1,2.1,2.7,0.774,2.5,3.8,1.1,0.4,1.2,1.5,12.6,0.537,0.503,0.588,0.263,0
Kevin Hervey,7.4,16.5,0.446,5.0,9.6,0.522,2.3,6.9,3.4,4.2,0.807,8.5,2.2,1.2,0.6,2.7,1.8,20.5,0.553,0.517,0.417,0.257,1
Diamond Stone,4.8,8.4,0.568,4.8,8.4,0.568,0.0,0.0,2.9,3.8,0.761,5.4,0.4,0.5,1.6,1.5,2.3,12.5,0.61,0.568,0.0,0.456,1
Cody Martin,2.0,4.3,0.469,2.0,4.1,0.486,0.1,0.3,0.9,1.6,0.583,3.5,1.9,0.9,0.4,1.2,2.0,5.1,0.496,0.476,0.062,0.372,0
Tyler Ulis,5.5,12.6,0.434,3.9,8.1,0.486,1.6,4.6,4.8,5.6,0.856,3.0,7.0,1.5,0.1,2.0,1.8,17.3,0.567,0.497,0.362,0.441,0
Ivan Rabb,4.9,10.1,0.484,4.6,9.4,0.49,0.3,0.6,4.0,6.0,0.663,10.5,1.5,0.7,1.0,2.2,3.1,14.0,0.541,0.497,0.064,0.599,0
De'Anthony Melton,2.8,6.4,0.437,2.2,4.4,0.51,0.6,2.1,2.1,3.0,0.706,4.7,3.5,1.9,1.0,1.8,2.3,8.3,0.53,0.483,0.32,0.472,0
De'Aaron Fox,5.9,12.4,0.479,5.5,10.5,0.521,0.5,1.9,4.3,5.9,0.736,4.0,4.6,1.5,0.2,2.4,2.5,16.7,0.549,0.498,0.154,0.474,0
Glenn Robinson III,4.9,10.1,0.488,4.0,7.2,0.562,0.9,2.9,2.4,3.1,0.757,4.4,1.2,0.9,0.3,1.2,1.5,13.1,0.566,0.532,0.29,0.308,0
Damyean Dotson,4.0,9.1,0.439,2.9,5.9,0.502,1.0,3.2,1.4,1.9,0.763,3.4,1.0,0.7,0.1,1.3,1.4,10.4,0.523,0.496,0.355,0.206,0
Tyrese Haliburton,5.6,11.1,0.504,3.2,5.5,0.592,2.4,5.6,1.7,2.0,0.822,5.9,6.5,2.5,0.7,2.8,1.3,15.2,0.631,0.611,0.508,0.184,0
Isaiah Livers,4.4,9.7,0.457,2.3,4.7,0.486,2.2,5.0,2.0,2.3,0.87,6.0,2.0,0.6,0.7,1.1,1.6,13.1,0.605,0.57,0.52,0.242,0
Tyler Ennis,4.4,10.6,0.411,3.5,8.1,0.429,0.9,2.5,3.4,4.4,0.765,3.4,5.5,2.1,0.2,1.7,2.0,12.9,0.511,0.453,0.236,0.414,0
Thomas Welsh,4.9,10.1,0.485,3.5,6.7,0.527,1.4,3.4,1.5,1.8,0.828,10.8,1.4,0.7,0.9,1.0,2.4,12.6,0.577,0.552,0.335,0.174,0
